27.07.2019 14:16:00,12,2 3 0 4 0 4 4 8 11 4 ,750
27.07.2019 14:16:00,13,2 3 0 4 0 4 4 8 11 4 ,750
27.07.2019 14:16:00,13,2 11 0 4 2 4 10 8 11 8 ,820
27.07.2019 14:16:00,13,2 5 0 4 6 4 10 8 11 4 ,630
27.07.2019 14:16:00,13,2 10 10 4 0 4 4 8 11 4 ,740
27.07.2019 14:16:00,13,2 5 0 2 0 4 4 8 4 4 ,740
27.07.2019 14:16:00,13,10 8 0 4 0 3 4 8 11 4 ,640
27.07.2019 14:16:00,14,2 11 0 4 2 4 10 8 11 8 ,820
27.07.2019 14:16:00,14,8 11 0 4 5 2 4 8 11 4 ,830
27.07.2019 14:16:00,14,2 3 0 4 2 4 4 8 11 4 ,850
27.07.2019 14:16:00,14,0 11 0 4 11 1 10 8 11 8 ,610
27.07.2019 14:16:00,14,2 5 0 4 0 9 4 8 11 4 ,640
27.07.2019 14:16:00,14,2 7 0 4 2 4 10 8 2 8 ,720
27.07.2019 14:16:00,15,2 3 0 4 2 4 4 8 11 4 ,850
27.07.2019 14:16:00,15,2 3 0 4 2 4 9 8 11 5 ,640
27.07.2019 14:16:00,15,8 11 0 4 2 2 4 8 10 4 ,830
27.07.2019 14:16:00,15,2 11 0 4 2 9 10 8 11 8 ,720
27.07.2019 14:16:00,15,2 5 2 4 0 11 4 8 6 4 ,730
27.07.2019 14:16:00,15,2 3 0 4 2 4 4 8 11 4 ,850
27.07.2019 14:16:00,16,2 3 0 4 2 4 4 8 11 4 ,850
27.07.2019 14:16:00,16,2 5 2 5 0 4 4 8 6 4 ,630
27.07.2019 14:16:00,16,2 3 0 4 0 4 4 8 6 4 ,650
27.07.2019 14:16:00,16,2 6 0 4 2 4 4 8 11 4 ,840
27.07.2019 14:16:00,16,2 3 0 4 2 4 4 8 11 4 ,850
27.07.2019 14:16:00,16,2 11 0 10 2 9 4 8 2 8 ,720
27.07.2019 14:16:00,17,2 3 0 4 2 4 4 8 11 4 ,850
27.07.2019 14:16:00,17,2 3 0 4 2 4 4 8 11 4 ,850
27.07.2019 14:16:00,17,2 3 0 4 2 7 4 2 2 4 ,740
